Year:year,HadCRUT4 upper limit:number,HadCRUT4 lower limit:number,HadCRUT4:number,ERA5:number,GISSTEMP:number,NOAA Global Temp:number,Type:text,E-OBS:number
1922,0.25,-0.06,0.1,,0.04,-0.11,European annual,
1923,0.45,0.18,0.32,,0.26,0.22,European annual,
1924,0.45,0.2,0.33,,0.26,0.17,European annual,
1925,0.5,0.26,0.39,,0.35,0.24,European annual,
1926,0.74,0.51,0.63,,0.6,0.62,European annual,
1927,0.62,0.39,0.51,,0.38,0.45,European annual,
1928,0.59,0.38,0.49,,0.39,0.37,European annual,
1929,0.19,0.01,0.11,,0.09,-0.03,European annual,
1930,1.07,0.9,0.98,,0.84,0.89,European annual,
1931,0.26,0.09,0.18,,0.17,0.11,European annual,
1932,0.6,0.43,0.52,,0.47,0.41,European annual,
1933,0.3,0.13,0.21,,0.33,0.02,European annual,
1934,1.24,1.07,1.15,,1.0,0.99,European annual,
1935,0.74,0.57,0.65,,0.52,0.47,European annual,
1936,0.84,0.67,0.76,,0.6,0.61,European annual,
1937,1.14,0.97,1.05,,0.87,0.89,European annual,
1938,1.03,0.87,0.95,,0.95,0.76,European annual,
1939,0.84,0.68,0.76,,0.66,0.6,European annual,
1940,-0.06,-0.22,-0.14,,-0.08,-0.33,European annual,
1941,-0.06,-0.22,-0.14,,-0.12,-0.25,European annual,
1942,0.03,-0.14,-0.06,,-0.03,-0.1,European annual,
1943,0.97,0.81,0.89,,0.8,0.77,European annual,
1944,0.67,0.51,0.59,,0.54,0.48,European annual,
1945,0.87,0.71,0.79,,0.74,0.62,European annual,
1946,0.85,0.69,0.77,,0.67,0.64,European annual,
1947,0.86,0.71,0.78,,0.67,0.74,European annual,
1948,0.8,0.65,0.72,,0.76,0.6,European annual,
1949,0.93,0.78,0.85,,0.89,0.79,European annual,
1950,0.88,0.75,0.81,,0.7,0.73,European annual,0.86
1951,0.7,0.58,0.64,,0.52,0.55,European annual,0.67
1952,0.62,0.5,0.56,,0.43,0.48,European annual,0.5
1953,0.85,0.74,0.79,,0.74,0.6,European annual,0.72
1954,0.44,0.33,0.38,,0.27,0.25,European annual,0.27
1955,0.62,0.5,0.56,,0.46,0.51,European annual,0.29
1956,-0.18,-0.29,-0.24,,-0.31,-0.43,European annual,-0.7
1957,0.81,0.7,0.75,,0.7,0.67,European annual,0.84
1958,0.66,0.55,0.6,,0.47,0.49,European annual,0.38
1959,0.89,0.79,0.84,,0.77,0.71,European annual,0.78
1960,0.95,0.85,0.89,,0.75,0.77,European annual,0.72
1961,1.15,1.06,1.1,,1.03,1.0,European annual,1.15
1962,0.45,0.35,0.4,,0.29,0.33,European annual,0.22
1963,0.26,0.17,0.21,,0.1,0.15,European annual,-0.05
1964,0.52,0.43,0.47,,0.44,0.36,European annual,0.35
1965,0.11,0.02,0.06,,0.02,-0.01,European annual,-0.17
1966,0.63,0.54,0.58,,0.55,0.65,European annual,0.49
1967,0.51,0.42,0.46,,0.47,0.47,European annual,0.63
1968,0.37,0.27,0.32,,0.3,0.37,European annual,0.19
1969,0.15,0.06,0.1,,0.06,0.13,European annual,-0.26
1970,0.39,0.3,0.34,,0.35,0.38,European annual,0.26
1971,0.45,0.36,0.4,,0.4,0.44,European annual,0.3
1972,0.5,0.41,0.45,,0.41,0.4,European annual,0.51
1973,0.4,0.31,0.35,,0.38,0.37,European annual,0.29
1974,0.8,0.71,0.75,,0.72,0.71,European annual,0.79
1975,0.8,0.71,0.75,,0.73,0.75,European annual,1.06
1976,0.2,0.11,0.15,,0.24,0.15,European annual,-0.28
1977,0.51,0.42,0.46,,0.5,0.49,European annual,0.37
1978,0.17,0.08,0.12,,0.2,0.16,European annual,-0.24
1979,0.35,0.26,0.3,0.21,0.29,0.39,European annual,0.28
1980,0.15,0.06,0.1,-0.21,0.2,0.11,European annual,-0.23
1981,0.44,0.34,0.38,0.54,0.48,0.45,European annual,0.52
1982,0.69,0.59,0.63,0.68,0.66,0.68,European annual,0.68
1983,0.75,0.65,0.69,0.95,0.76,0.74,European annual,0.94
1984,0.63,0.54,0.58,0.49,0.6,0.53,European annual,0.42
1985,0.11,0.01,0.06,-0.39,0.11,0.08,European annual,-0.37
1986,0.46,0.36,0.4,0.3,0.33,0.4,European annual,0.3
1987,0.31,0.21,0.25,-0.28,0.26,0.2,European annual,-0.33
1988,0.8,0.7,0.74,0.76,0.73,0.75,European annual,0.73
1989,1.36,1.25,1.3,1.67,1.33,1.32,European annual,1.65
1990,1.45,1.34,1.39,1.48,1.35,1.35,European annual,1.48
1991,0.8,0.69,0.74,0.64,0.77,0.7,European annual,0.7
1992,0.85,0.74,0.79,0.84,0.79,0.74,European annual,0.9
1993,0.56,0.46,0.5,0.37,0.5,0.49,European annual,0.38
1994,1.34,1.23,1.28,1.28,1.23,1.35,European annual,1.25
1995,1.01,0.9,0.95,1.15,1.11,1.03,European annual,1.07
1996,0.58,0.47,0.51,0.33,0.57,0.53,European annual,0.31
1997,1.1,1.0,1.04,0.89,1.15,1.09,European annual,0.84
1998,1.15,1.04,1.09,0.91,1.12,1.15,European annual,0.86
1999,1.51,1.38,1.44,1.52,1.41,1.53,European annual,1.48
2000,1.6,1.47,1.53,1.76,1.48,1.55,European annual,1.7
2001,1.36,1.23,1.29,1.27,1.26,1.33,European annual,1.26
2002,1.6,1.47,1.53,1.5,1.47,1.5,European annual,1.47
2003,1.54,1.41,1.47,1.31,1.46,1.46,European annual,1.35
2004,1.37,1.25,1.3,1.21,1.29,1.27,European annual,1.2
2005,1.25,1.12,1.18,1.27,1.25,1.18,European annual,1.24
2006,1.64,1.51,1.57,1.47,1.57,1.57,European annual,1.4
2007,1.72,1.59,1.64,1.85,1.64,1.7,European annual,1.83
2008,1.63,1.5,1.56,1.73,1.5,1.57,European annual,1.7
2009,1.56,1.43,1.49,1.52,1.47,1.53,European annual,1.48
2010,1.14,1.01,1.07,0.99,1.06,1.17,European annual,0.95
2011,1.64,1.5,1.56,1.67,1.57,1.57,European annual,1.7
2012,1.46,1.32,1.38,1.32,1.34,1.42,European annual,1.33
2013,1.48,1.35,1.4,1.57,1.33,1.41,European annual,1.56
2014,2.28,2.14,2.2,2.2,2.11,2.18,European annual,2.15
2015,1.96,1.82,1.88,2.2,1.83,1.95,European annual,2.18
2016,1.95,1.8,1.86,1.91,1.85,1.85,European annual,1.89
2017,1.83,1.65,1.73,1.79,1.76,1.76,European annual,1.85
2018,2.2,2.02,2.1,2.13,2.0,2.23,European annual,2.27
1868,0.38,-0.2,0.12,,,,European decadal,
1878,0.36,-0.2,0.11,,,,European decadal,
1888,0.27,-0.28,0.03,,,,European decadal,
1898,0.23,-0.29,0.01,,0.09,-0.01,European decadal,
1908,0.38,-0.1,0.18,,0.15,0.03,European decadal,
1918,0.35,-0.01,0.2,,0.17,0.07,European decadal,
1928,0.47,0.23,0.37,,0.32,0.27,European decadal,
1938,0.69,0.52,0.61,,0.58,0.51,European decadal,
1948,0.59,0.44,0.52,,0.46,0.38,European decadal,
1958,0.64,0.52,0.58,,0.49,0.46,European decadal,0.426492052
1968,0.61,0.51,0.56,,0.47,0.48,European decadal,0.432604381
1978,0.45,0.36,0.41,,0.4,0.4,European decadal,0.279935758
1988,0.4,0.3,0.35,0.253755556,0.44,0.43,European decadal,0.196982398
1998,0.98,0.87,0.93,0.95481,0.99,0.97,European decadal,0.945144578
2008,1.46,1.35,1.4,1.48992,1.43,1.47,European decadal,1.463511638
2018,1.68,1.56,1.61,1.72966,1.63,1.71,European decadal,1.735723363
