Year:year,Upper limit:number,Lower limit:number,HadCRUT4:number,ERA-Interim:number,GISSTEMP:number,NOAA Global Temp:number,Type:text
1926,0.74,0.51,0.63,,0.55,0.63,European annual
1927,0.62,0.39,0.51,,0.35,0.45,European annual
1928,0.59,0.38,0.49,,0.35,0.38,European annual
1929,0.2,0.01,0.11,,0.05,-0.02,European annual
1930,1.07,0.9,0.99,,0.79,0.9,European annual
1931,0.26,0.09,0.18,,0.13,0.12,European annual
1932,0.6,0.43,0.52,,0.45,0.42,European annual
1933,0.3,0.13,0.21,,0.28,0.03,European annual
1934,1.24,1.07,1.16,,0.97,1,European annual
1935,0.74,0.57,0.66,,0.49,0.48,European annual
1936,0.84,0.68,0.76,,0.57,0.61,European annual
1937,1.14,0.97,1.06,,0.84,0.9,European annual
1938,1.04,0.88,0.96,,0.92,0.77,European annual
1939,0.84,0.68,0.76,,0.63,0.6,European annual
1940,-0.05,-0.21,-0.13,,-0.1,-0.3,European annual
1941,-0.05,-0.21,-0.14,,-0.15,-0.25,European annual
1942,0.03,-0.13,-0.05,,-0.07,-0.11,European annual
1943,0.98,0.81,0.89,,0.79,0.77,European annual
1944,0.67,0.51,0.59,,0.52,0.48,European annual
1945,0.87,0.71,0.79,,0.73,0.62,European annual
1946,0.85,0.7,0.77,,0.67,0.65,European annual
1947,0.86,0.71,0.78,,0.66,0.74,European annual
1948,0.8,0.65,0.73,,0.75,0.6,European annual
1949,0.93,0.78,0.85,,0.87,0.81,European annual
1950,0.89,0.75,0.81,,0.69,0.77,European annual
1951,0.7,0.58,0.64,,0.51,0.57,European annual
1952,0.62,0.5,0.56,,0.42,0.5,European annual
1953,0.85,0.74,0.79,,0.73,0.62,European annual
1954,0.44,0.33,0.38,,0.27,0.28,European annual
1955,0.62,0.51,0.56,,0.46,0.52,European annual
1956,-0.17,-0.29,-0.23,,-0.32,-0.41,European annual
1957,0.82,0.7,0.76,,0.69,0.68,European annual
1958,0.66,0.55,0.6,,0.47,0.51,European annual
1959,0.9,0.79,0.84,,0.77,0.72,European annual
1960,0.95,0.85,0.9,,0.75,0.78,European annual
1961,1.16,1.06,1.1,,1.03,1.01,European annual
1962,0.45,0.35,0.4,,0.29,0.35,European annual
1963,0.26,0.17,0.21,,0.1,0.16,European annual
1964,0.53,0.43,0.47,,0.45,0.36,European annual
1965,0.11,0.02,0.06,,0.03,-0.01,European annual
1966,0.64,0.54,0.58,,0.55,0.65,European annual
1967,0.52,0.42,0.47,,0.47,0.47,European annual
1968,0.37,0.28,0.32,,0.3,0.37,European annual
1969,0.15,0.06,0.1,,0.07,0.14,European annual
1970,0.4,0.3,0.34,,0.35,0.37,European annual
1971,0.45,0.36,0.4,,0.4,0.43,European annual
1972,0.5,0.41,0.45,,0.41,0.39,European annual
1973,0.4,0.31,0.35,,0.38,0.37,European annual
1974,0.8,0.71,0.75,,0.72,0.71,European annual
1975,0.81,0.72,0.76,,0.73,0.76,European annual
1976,0.2,0.11,0.15,,0.24,0.14,European annual
1977,0.51,0.42,0.46,,0.5,0.49,European annual
1978,0.17,0.08,0.12,,0.2,0.16,European annual
1979,0.35,0.26,0.3,0.55,0.29,0.39,European annual
1980,0.15,0.06,0.1,-0.16,0.21,0.12,European annual
1981,0.44,0.34,0.38,0.67,0.49,0.45,European annual
1982,0.69,0.59,0.64,0.58,0.66,0.68,European annual
1983,0.75,0.65,0.69,0.96,0.76,0.75,European annual
1984,0.64,0.54,0.58,0.47,0.61,0.53,European annual
1985,0.11,0.02,0.06,-0.34,0.12,0.08,European annual
1986,0.46,0.36,0.4,0.33,0.33,0.4,European annual
1987,0.31,0.21,0.25,-0.3,0.27,0.21,European annual
1988,0.8,0.7,0.74,0.71,0.74,0.75,European annual
1989,1.36,1.26,1.3,1.66,1.33,1.33,European annual
1990,1.45,1.35,1.39,1.42,1.35,1.36,European annual
1991,0.8,0.7,0.74,0.68,0.77,0.69,European annual
1992,0.85,0.75,0.79,0.71,0.79,0.73,European annual
1993,0.56,0.46,0.5,0.28,0.51,0.47,European annual
1994,1.34,1.23,1.28,1.16,1.23,1.34,European annual
1995,1.01,0.91,0.95,1.24,1.1,1.02,European annual
1996,0.58,0.47,0.52,0.42,0.57,0.53,European annual
1997,1.11,1,1.04,0.82,1.15,1.08,European annual
1998,1.15,1.04,1.09,0.94,1.12,1.14,European annual
1999,1.51,1.39,1.44,1.56,1.41,1.52,European annual
2000,1.6,1.47,1.53,1.76,1.47,1.54,European annual
2001,1.36,1.23,1.29,1.36,1.27,1.33,European annual
2002,1.6,1.48,1.53,1.46,1.47,1.49,European annual
2003,1.54,1.41,1.47,1.3,1.46,1.46,European annual
2004,1.38,1.25,1.3,1.25,1.3,1.26,European annual
2005,1.25,1.12,1.18,1.34,1.26,1.17,European annual
2006,1.65,1.52,1.57,1.45,1.57,1.55,European annual
2007,1.72,1.59,1.64,1.87,1.65,1.69,European annual
2008,1.63,1.5,1.56,1.76,1.51,1.56,European annual
2009,1.57,1.43,1.49,1.52,1.48,1.52,European annual
2010,1.14,1.01,1.07,1.24,1.07,1.16,European annual
2011,1.64,1.51,1.56,1.57,1.57,1.56,European annual
2012,1.46,1.33,1.38,1.36,1.34,1.42,European annual
2013,1.49,1.35,1.41,1.61,1.33,1.4,European annual
2014,2.28,2.15,2.2,2.15,2.09,2.16,European annual
2015,1.96,1.82,1.88,2.2,1.82,1.94,European annual
2016,1.95,1.8,1.86,1.92,1.82,1.82,European annual
2017,1.83,1.65,1.73,1.81,1.74,1.73,European annual
1867,0.44,-0.14,0.18,,,,European decadal
1877,0.35,-0.22,0.1,,,,European decadal
1887,0.28,-0.27,0.04,,,,European decadal
1897,0.18,-0.34,-0.04,,-0.06,-0.09,European decadal
1907,0.44,-0.05,0.23,,0.15,0.1,European decadal
1917,0.36,0,0.21,,0.12,0.04,European decadal
1927,0.4,0.15,0.29,,0.27,0.26,European decadal
1937,0.64,0.46,0.56,,0.49,0.48,European decadal
1947,0.62,0.47,0.55,,0.46,0.4,European decadal
1957,0.65,0.52,0.59,,0.51,0.49,European decadal
1967,0.64,0.54,0.59,,0.49,0.5,European decadal
1977,0.45,0.36,0.41,,0.41,0.42,European decadal
1987,0.42,0.33,0.37,0.31,0.39,0.38,European decadal
1997,0.9,0.8,0.85,0.91,0.95,0.93,European decadal
2007,1.4,1.29,1.34,1.43,1.4,1.41,European decadal
2017,1.67,1.55,1.61,1.71,1.58,1.63,European decadal
